"
                武汉理工大学2017届毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/115555_5a543d4b4b3be.pdf""",
"
                华中师范大学2017年毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/115030_5a543c06bc722.pdf""",
"
                华中农业大学2017届毕业生就业质量年度报告
            ","href=""http://upload.hzau.edu.cn/2018/0102/1514851060803.pdf""",
"
                中南财经政法大学2017届毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/115448_5a543d08a91da.pdf""",
中南大学2017届毕业生就业质量年度报告,"href=""http://cdn1.kybimg.com/ohr/2018/01/09/121911_5a5442bfedec5.pdf""",
湖南大学2017届毕业生就业质量年度报告,"href=""http://xxgk.hnu.edu.cn/__local/D/13/26/DB9EE473B23E3736BF4B7C5929B_F6723CCA_22EC6BC.pdf?e=.pdf""",
中山大学2017届毕业生就业质量年度报告,"href=""http://cdn1.kybimg.com/ohr/2018/01/16/114057_5a5d74498c5a4.pdf""",
"
                华南理工大学2017年毕业生就业质量年度报告
            ","href=""http://jyzx.6ihnep7.cas.scut.edu.cn/jyzx/jyzlbg/resource/cfb97d7f70ab5bcc03be431ce1ee52e0.pdf""",
"
                重庆大学发布2017届毕业生就业质量年度报告
            ","href=""https://news.cqu.edu.cn/newsv2/uploadfile/20171229/1514541431599741.pdf""",
"
                西南大学2017届毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/112058_5a54351a07052.pdf""",
"
                四川大学2017届毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/114029_5a5439ad02f2d.pdf""",
"
                西南财经大学2017届毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/114135_5a5439ef3d19e.pdf""",
"
                西南交通大学2017年毕业生就业质量年度报告
            ","href=""https://news.swjtu.edu.cn/uploadFiles/201801/03/_B_201801031658318309.pdf""",
"
                电子科技大学2017届毕业生就业质量年度报告
            ","href=""https://news.uestc.edu.cn/upload/attach/4d44297e896a966efb7fe93bc86920ee.pdf""",
"
                西安交通大学2017年毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/115722_5a543da23d09a.pdf""",
"
                西北农林科技大学2017届毕业生就业质量报告
            ","href=""https://xxgk.nwsuaf.edu.cn/docs/2018-01/20180102121111031405.pdf""",
"
                陕西师范大学2017年毕业生就业质量年度报告发布
            ","href=""http://xxgk.snnu.edu.cn/__local/1/8C/F6/6D853B29C17D97CE4BAB927FA90_6D26AF6B_783C31.pdf""",
"
                西安电子科技大学2017届毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/120400_5a543f30c1349.pdf""",
"
                长安大学2017届就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/16/113448_5a5d72d8a9a1b.pdf""",
"
                兰州大学2017年毕业生就业质量报告发布
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/122045_5a54431d33c36.pdf""",
